prompt,fold,generation,qwk
1,0,1,0.035954944359965824
1,0,2,0.035954944359965824
1,0,3,0.035954944359965824
1,0,4,0.035954944359965824
1,0,5,0.035954944359965824
1,0,6,0.035954944359965824
1,0,7,0.035954944359965824
1,0,8,0.035954944359965824
1,0,9,0.035954944359965824
1,0,10,0.035954944359965824
1,0,11,0.035954944359965824
1,0,12,0.035954944359965824
1,0,13,0.035954944359965824
1,0,14,0.035954944359965824
1,0,15,0.035954944359965824
1,0,16,0.035954944359965824
1,0,17,0.035954944359965824
1,0,18,0.035954944359965824
1,0,19,0.035954944359965824
1,0,20,0.035954944359965824
1,0,21,0.035954944359965824
1,0,22,0.035954944359965824
1,0,23,0.035954944359965824
1,0,24,0.035954944359965824
1,0,25,0.035954944359965824
1,1,1,0.0414782915602393
1,1,2,0.0414782915602393
1,1,3,0.0414782915602393
1,1,4,0.0414782915602393
1,1,5,0.0414782915602393
1,1,6,0.0414782915602393
1,1,7,0.0414782915602393
1,1,8,0.0414782915602393
1,1,9,0.0414782915602393
1,1,10,0.0414782915602393
1,1,11,0.0414782915602393
1,1,12,0.0414782915602393
1,1,13,0.0414782915602393
1,1,14,0.0414782915602393
1,1,15,0.0414782915602393
1,1,16,0.0414782915602393
1,1,17,0.0414782915602393
1,1,18,0.0414782915602393
1,1,19,0.0414782915602393
1,1,20,0.0414782915602393
1,1,21,0.0414782915602393
1,1,22,0.0414782915602393
1,1,23,0.0414782915602393
1,1,24,0.0414782915602393
1,1,25,0.0414782915602393
1,2,1,0.011006662662550792
1,2,2,0.011006662662550792
1,2,3,0.011006662662550792
1,2,4,0.011006662662550792
1,2,5,0.011006662662550792
1,2,6,0.011006662662550792
1,2,7,0.011006662662550792
1,2,8,0.011006662662550792
1,2,9,0.011006662662550792
1,2,10,0.011006662662550792
1,2,11,0.011006662662550792
1,2,12,0.011006662662550792
1,2,13,0.011006662662550792
1,2,14,0.011006662662550792
1,2,15,0.011006662662550792
1,2,16,0.011006662662550792
1,2,17,0.011006662662550792
1,2,18,0.011006662662550792
1,2,19,0.011006662662550792
1,2,20,0.011006662662550792
1,2,21,0.011006662662550792
1,2,22,0.011006662662550792
1,2,23,0.011006662662550792
1,2,24,0.011006662662550792
1,2,25,0.011006662662550792
1,3,1,0.03125589142581309
1,3,2,0.03125589142581309
1,3,3,0.03125589142581309
1,3,4,0.03125589142581309
1,3,5,0.03125589142581309
1,3,6,0.03125589142581309
1,3,7,0.03125589142581309
1,3,8,0.03125589142581309
1,3,9,0.03125589142581309
1,3,10,0.03125589142581309
1,3,11,0.03125589142581309
1,3,12,0.03125589142581309
1,3,13,0.03125589142581309
1,3,14,0.03125589142581309
1,3,15,0.03125589142581309
1,3,16,0.03125589142581309
1,3,17,0.03125589142581309
1,3,18,0.03125589142581309
1,3,19,0.03125589142581309
1,3,20,0.03125589142581309
1,3,21,0.03125589142581309
1,3,22,0.03125589142581309
1,3,23,0.03125589142581309
1,3,24,0.03125589142581309
1,3,25,0.03125589142581309
1,4,1,0.020068861957303508
1,4,2,0.020068861957303508
1,4,3,0.008509386039272426
1,4,4,0.008509386039272426
1,4,5,0.008509386039272426
1,4,6,0.008509386039272426
1,4,7,0.008509386039272426
1,4,8,0.008509386039272426
1,4,9,0.008509386039272426
1,4,10,0.008509386039272426
1,4,11,0.008509386039272426
1,4,12,0.008509386039272426
1,4,13,0.008509386039272426
1,4,14,0.008509386039272426
1,4,15,0.008509386039272426
1,4,16,0.008509386039272426
1,4,17,0.008509386039272426
1,4,18,0.008509386039272426
1,4,19,0.008509386039272426
1,4,20,0.008509386039272426
1,4,21,0.008509386039272426
1,4,22,0.008509386039272426
1,4,23,0.008509386039272426
1,4,24,0.008509386039272426
1,4,25,0.008509386039272426
2,0,1,0.30721710139242986
2,0,2,0.36966547356828183
2,0,3,0.39871813441483195
2,0,4,0.39871813441483195
2,0,5,0.39871813441483195
2,0,6,0.39871813441483195
2,0,7,0.39871813441483195
2,0,8,0.39871813441483195
2,0,9,0.39871813441483195
2,0,10,0.39871813441483195
2,0,11,0.39871813441483195
2,0,12,0.39871813441483195
2,0,13,0.39871813441483195
2,0,14,0.39871813441483195
2,0,15,0.39871813441483195
2,0,16,0.39871813441483195
2,0,17,0.39871813441483195
2,0,18,0.39871813441483195
2,0,19,0.39871813441483195
2,0,20,0.39871813441483195
2,0,21,0.39871813441483195
2,0,22,0.39871813441483195
2,0,23,0.39871813441483195
2,0,24,0.39871813441483195
2,0,25,0.39871813441483195
2,1,1,0.418902170871147
2,1,2,0.49953660797034305
2,1,3,0.4746543778801843
2,1,4,0.43463740458015276
2,1,5,0.4327236000448883
2,1,6,0.44693514725206773
2,1,7,0.4865423607521966
2,1,8,0.46121099243604846
2,1,9,0.43132453992575626
2,1,10,0.4072876409811499
2,1,11,0.45012687878196367
2,1,12,0.4298804780876495
2,1,13,0.45016521939598864
2,1,14,0.4951952072695106
2,1,15,0.4594805397394899
